0 180144 msmarco_doc_57_1473612698 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.162651, 20.750607, 14.35832, 14.35832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1 180144 msmarco_doc_12_1201653464 2.0, 2.0, 3.0, 3.0, 0.6666667, 0.6666667, 1.0, 1.0, 2.0, 2.4142137, 7.009968, 8.0, 24.162651, 20.750607, 14.35832, 14.35832, 16.197742, 13.502661, 34.537853, 38.65735, 6.538191, 4.908104, 10.200728, 10.39127
1 18015 msmarco_doc_57_1473612698 3.0, 2.0, 9.0, 9.0, 0.25, 0.16666667, 0.75, 0.75, 3.0, 2.0, 25.15266, 25.770834, 91.29265, 72.49291, 40.9868, 40.9868, 20.310421, 14.642637, 70.459595, 73.120026, 8.4254265, 9.426906, 15.166315, 15.167396
0 18015 msmarco_doc_12_1201653464 0.0, 2.0, 3.0, 3.0, 0.0, 0.16666667, 0.25, 0.25, 0.0, 2.4142137, 7.8411026, 8.377802, 91.29265, 72.49291, 40.9868, 40.9868, 0.0, 4.9465947, 8.554554, 9.109447, 0.0, 0.0, 0.0, 0.0
0 180150 msmarco_doc_02_1640034263 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.4, 0.4, 0.0, 0.0, 3.732051, 3.732051, 39.004246, 32.671013, 20.5643, 20.5643, 0.0, 0.0, 14.144657, 14.144657, 0.0, 0.0, 4.7870545, 4.8031673
1 180150 msmarco_doc_41_655954196 2.0, 2.0, 3.0, 3.0, 0.4, 0.4, 0.6, 0.6, 2.0, 2.4142137, 7.8016224, 8.576491, 39.004246, 32.671013, 20.5643, 20.5643, 14.066267, 13.502661, 37.56669, 40.384888, 5.8409367, 6.795967, 11.658966, 11.684153
1 180151 msmarco_doc_02_1640034263 1.0, 1.0, 3.0, 3.0, 0.33333334, 0.33333334, 1.0, 1.0, 1.0, 1.7320508, 6.7807264, 7.3370852, 23.274109, 20.58534, 13.262277, 13.262277, 10.787297, 15.388986, 31.464445, 34.446594, 4.5148697, 6.607728, 9.032528, 9.113071
0 180151 msmarco_doc_41_655954196 1.0, 1.0, 1.0, 1.0, 0.33333334, 0.33333334, 0.33333334, 0.33333334, 1.0, 1.0, 3.7416575, 4.0, 23.274109, 20.58534, 13.262277, 13.262277, 7.9649096, 6.7883053, 16.529186, 17.670443, 3.374743, 3.8344452, 3.3013284, 3.313272
0 180155 msmarco_doc_57_1473612698 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.25695, 19.900043, 10.904815, 10.904815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1 180155 msmarco_doc_08_855522707 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 13.2244625, 13.2244625, 25.25695, 19.900043, 10.904815, 10.904815, 0.0, 0.0, 45.096825, 45.096825, 0.0, 0.0, 6.292426, 6.3283806
1 18016 msmarco_doc_57_1473612698 2.0, 2.0, 5.0, 5.0, 0.2857143, 0.2857143, 0.71428573, 0.71428573, 2.0, 2.0, 15.252623, 15.799728, 50.49238, 40.22032, 21.403309, 21.403307, 17.55906, 14.642637, 56.017944, 58.605927, 8.4254265, 9.426906, 9.602036, 9.6548395
0 18016 msmarco_doc_08_855522707 0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.5714286, 0.5714286, 0.0, 0.0, 8.527571, 8.527571, 50.49238, 40.22032, 21.403309, 21.403307, 0.0, 0.0, 23.514881, 23.514874, 0.0, 0.0, 3.3924751, 3.4164672
0 180160 msmarco_doc_18_705245467 1.0, 1.0, 1.0, 1.0, 0.33333334, 0.33333334, 0.33333334, 0.33333334, 1.0, 1.4142135, 2.828427, 3.3166249, 24.780413, 20.695646, 13.691719, 13.691719, 7.9649096, 9.600113, 12.494889, 14.651557, 3.7691174, 4.652755, 3.1674743, 3.2253902
